orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 110 E.5th Ave,Kenbridge, VA,23944,"",110,East 5th Avenue,Kenbridge,Lunenburg County,Virginia,United States,23944,36.9633264,-78.12417099999999,false
 61 Cedar Grove Road,Newton,MS,39345,"","",Cedar Grove Road,Newton,Newton County,Mississippi,United States,39345,32.3523382,-89.19501029999999,true
 621 30th Avenue,Meridian,MS,39301,"",621,30th Avenue,Meridian,Lauderdale County,Mississippi,United States,39301,32.3632563,-88.7085997,false
 510 W. Cherry,Clarksville,AR,72830,"",510,West Cherry Street,Clarksville,Johnson County,Arkansas,United States,72830,35.4721859,-93.46651879999999,true
 209 2nd Avenue NW,Austin,MN,55912,"",209,2nd Avenue Northwest,Austin,Mower County,Minnesota,United States,55912,43.6683039,-92.97621389999999,false
 208 Johnson,Hogansville,GA,30230,"",208,Johnson Street,Hogansville,Troup County,Georgia,United States,30230,33.175136,-84.9114589,true
 226 East 8 Street,Burke,SD,57523,"",226,East 8th Street,Burke,Gregory County,South Dakota,United States,57523,43.182507,-99.29036289999999,false
 1401 West Dixon Blvd,Shelby,NC,28152,"",1401,West Dixon Boulevard,Shelby,Cleveland County,North Carolina,United States,28152,35.288437,-81.563688,false
 85251 Hwy 9,Ashland,AL,36251,"",85251,Highway 9,Ashland,Clay County,Alabama,United States,36251,33.280986,-85.8052218,true
 7 Lee Road,Lincoln,ME,4457,"",7,Lee Road,Lincoln,Penobscot County,Maine,United States,04457,45.3652151,-68.5023983,true
 24 S. Keen Street,Clayton,AL,36016,"",24,South Keen Street,Clayton,Barbour County,Alabama,United States,36016,31.8753971,-85.4415368,true
 836 Poquoson Ave,Poquoson,VA,23662,"",836,Poquoson Avenue,Poquoson,"",Virginia,United States,23662,37.1323747,-76.3749474,false
 148 N. Churton St.,Hillsborough,NC,27278,"",148,North Churton Street,Hillsborough,Orange County,North Carolina,United States,27278,36.076805,-79.09925439999999,false
 1105 Broad Street,Durham,NC,27705,"",1105,Broad Street,Durham,Durham County,North Carolina,United States,27705,36.0158954,-78.9195664,false
 210 A East N Street,Newton,NC,28658,"",210,East N Street,Newton,Catawba County,North Carolina,United States,28658,35.64779,-81.22215899999999,true
 4110 Kennedy Boulevard,Union City,NJ,7087,"",4110,John F. Kennedy Boulevard,Union City,Hudson County,New Jersey,United States,07087,40.778214,-74.027059,true
 2518 Dixon Blvd,Shelby,NC,28152,"",2518,West Dixon Boulevard,Shelby,Cleveland County,North Carolina,United States,28152,35.2934284,-81.60079429999999,true
 109 Walnut Street,Lenoir City,TN,37771,"",109,South Walnut Street,Lenoir City,Loudon County,Tennessee,United States,37771,35.7952646,-84.2577168,true
 145 Chota Center,Loudon,TN,37774,"","",Awohili Drive,Loudon,Loudon County,Tennessee,United States,37774,35.6983794,-84.2587209,true
 102 B Street,Lenoir City,TN,37771,"",102,B Street,Lenoir City,Loudon County,Tennessee,United States,37771,35.790766,-84.26759100000001,false
 2 Washington Street,Rutland,VT,5701,"",2,Washington Street,Rutland,Rutland County,Vermont,United States,05701,43.605835,-72.9725799,true
 412 Main,Victoria,KS,67671,"",412,Main Street,Victoria,Ellis County,Kansas,United States,67671,38.850364,-99.14610929999999,true
 1919 E 22nd Street,Hays,KS,67601,"",1919,East 22nd Street,Hays,Ellis County,Kansas,United States,67601,38.8785424,-99.3008258,false
 202 McClure Avenue,Clintwood,VA,24228,"","","",Clintwood,Dickenson County,Virginia,United States,24228,37.15010669999999,-82.4559845,true
 309 S. Washington Ave,Ludington,MI,49431,"",309,South Washington Avenue,Ludington,Mason County,Michigan,United States,49431,43.9534751,-86.4393783,false
 413 S. Mears Avenue,Whitehall,MI,49461,"",413,South Mears Avenue,Whitehall,Muskegon County,Michigan,United States,49461,43.4059526,-86.3477794,false
 1469 Peck Street,Muskegon,MI,49443,"",1469,Peck Street,Muskegon,Muskegon County,Michigan,United States,49441,43.22554419999999,-86.2442944,true
 16777 Lincoln Street,Grand Haven,MI,49417,"",16777,Lincoln Street,Grand Haven,Ottawa County,Michigan,United States,49417,43.001703,-86.204033,false
 11190 James Monroe Hwy,Culpeper,VA,22701,"",11190,James Monroe Highway,Culpeper,Culpeper County,Virginia,United States,22701,38.4561903,-78.0408417,false
 168 W.Statesville Avenue,Mooresville,NC,28115,"",168,West Statesville Avenue,Mooresville,Iredell County,North Carolina,United States,28115,35.588213,-80.804783,false
 222 S. Mckinley Street,Coats,NC,27521,"",222,South McKinley Street,Coats,Harnett County,North Carolina,United States,27521,35.4046366,-78.67247859999999,false
 2441 Hwy 37 W,Moultrie,GA,31776,"",2441,Highway 37,Moultrie,Colquitt County,Georgia,United States,31768,31.1920531,-83.8372936,true
 603 West Main Street,Blytheville,AR,72316,"",603,West Main Street,Blytheville,Mississippi County,Arkansas,United States,72315,35.9271052,-89.9096886,true
 151 Orchard Lake Rd.,Pontiac,MI,48341,"",151,Orchard Lake Road,Pontiac,Oakland County,Michigan,United States,48341,42.633968,-83.296528,false
 905 High Street,Hackettstown,NJ,7840,"",905,High Street,Hackettstown,Warren County,New Jersey,United States,07840,40.867799,-74.826548,true
 4474 US 64 E,Murphy,NC,28906,"",4474,U.S. 64,Murphy,Cherokee County,North Carolina,United States,28906,35.0373619,-84.0940818,true
" Hwy 76 & Rice St,",Hiawassee,GA,30546,"","",Highway 76,"","",Virginia,United States,"",37.5018478,-77.556991,false
 32 Hospital St.,Blairsville,GA,30512,"",32,Hospital Street,Blairsville,Union County,Georgia,United States,30512,34.87244,-83.9570899,false
 715 7th St,Oregon City,OR,97045,"",715,7th Street,Oregon City,Clackamas County,Oregon,United States,97045,45.3558592,-122.6032972,false
 54 Roseland Avenue,Caldwell,NJ,7006,"",54,Roseland Avenue,Caldwell,Essex County,New Jersey,United States,07006,40.8372404,-74.2762714,true
 107 Essex Avenue,Boonton,NJ,7005,"",107,Essex Avenue,Boonton Township,Morris County,New Jersey,United States,07005,40.9072182,-74.42057059999999,true
 107 Broad St.,Milford,CT,6460,"",107,Broad Street,Milford,New Haven County,Connecticut,United States,06460,41.221423,-73.059704,true
 240 Shrewsbury,Red Bank,NJ,7701,"",240,Shrewsbury Avenue,Red Bank,Monmouth County,New Jersey,United States,07701,40.342486,-74.076129,true
 786 McMinnville Hwy,Manchester,TN,37355,"",786,McMinnville Highway,Manchester,Coffee County,Tennessee,United States,37355,35.48661269999999,-86.07474169999999,false
 769 Highland Avenue,Vine Grove,KY,40175,"",769,Highland Avenue,Vine Grove,Hardin County,Kentucky,United States,40175,37.8198114,-85.96574009999999,false
 937 Broad Street,New Tazewell,TN,37879,"",937,North Broad Street,Tazewell,Claiborne County,Tennessee,United States,37879,36.446317,-83.585607,true
 639 Beech St,Harrogate,TN,37752,"",639,Beech Hollow Road,Harrogate,Claiborne County,Tennessee,United States,37752,36.5922179,-83.4835561,true
 315 S. Queen Street,Mount Sterling,KY,40353,"",315,South Queen Street,Mount Sterling,Montgomery County,Kentucky,United States,40353,38.0537909,-83.93796859999999,false
 230 Frontier Drive,Staunton,VA,24401,"",230,Frontier Drive,Staunton,"",Virginia,United States,24401,38.1246099,-79.0539299,false
 501 Old Bellefonte Road,Harrison,AR,72601,"",501,Old Bellefonte Road,Harrison,Boone County,Arkansas,United States,72601,36.224063,-93.08661599999999,false
 501 West 3rd Street,Weldon,NC,27890,"",501,West 3rd Street,Weldon,Halifax County,North Carolina,United States,27890,36.428741,-77.6026937,false
 321 Hannah's Mill Road,Thomaston,GA,30286,"",321,Hannahs Mill Road,Thomaston,Upson County,Georgia,United States,30286,32.898903,-84.33950899999999,false
 700 Hwy 43 South,Tuscumbia,AL,35674,"","",Old US Highway 43,Tuscumbia,Colbert County,Alabama,United States,35674,34.6569421,-87.6921662,true
 307 North Main,Gretna, VA,24557,"",307,Main Street,Gretna,Pittsylvania County,Virginia,United States,24557,36.9545989,-79.3592027,true
 101 W. Main St,Rogersville,TN,37857,"",101,West Main Street,Rogersville,Hawkins County,Tennessee,United States,37857,36.407435,-83.0071451,false
 214 E. Middle,Chelsea,MI,48118,"",214,East Middle Street,Chelsea,Washtenaw County,Michigan,United States,48118,42.3187425,-84.0172267,true
 212 Tennessee 76,White House,TN,37188,"",212,Highway 76,White House,Robertson County,Tennessee,United States,37188,36.469923,-86.656559,false
 127 N Main Street,Goodlettsville,TN,37072,"",127,North Main Street,Goodlettsville,Davidson County,Tennessee,United States,37072,36.32409639999999,-86.712667,false
 182 W. Main Street,Hendersonville,TN,37075,"",182,West Main Street,Hendersonville,Sumner County,Tennessee,United States,37075,36.305986,-86.618296,false
 541 W Coolidge Avenue,Coolidge,AZ ,85128,"",541,West Coolidge Avenue,Coolidge,Pinal County,Arizona,United States,85128,32.973151,-111.524998,false
 525 N. Peart Road,Casa Grande,AZ,85122,"",525,North Peart Road,Casa Grande,Pinal County,Arizona,United States,85122,32.8780445,-111.7245528,false
 106 Allison Cove,Oxford,MS,38655,"",106,Allison Cove,Oxford,Lafayette County,Mississippi,United States,38655,34.3660463,-89.5555483,false
 9150 Hwy 12 E,Ackerman,MS,39735,"",9150,Highway 12 East,Ackerman,Choctaw County,Mississippi,United States,39735,33.3031774,-89.2099319,true
 101 N. Karwick Road,Michigan City,IN,46360,"",101,North Karwick Road,Michigan City,LaPorte County,Indiana,United States,46360,41.7236059,-86.85609579999999,false
 422 5th St,Hoquiam,WA,98550,"",422,5th Street,Hoquiam,Grays Harbor County,Washington,United States,98550,46.9786659,-123.889365,false
 824 Rainbow Drive,Gadsden,AL,35901,"",824,Rainbow Drive,Gadsden,Etowah County,Alabama,United States,35901,34.0004435,-86.0035189,false
 211 W. 5th Street,Benton,KY,42025,"",211,West 5th Street,Benton,Marshall County,Kentucky,United States,42025,36.8664722,-88.35858290000002,false
 534 West Poplar,Collierville,TN,38017,"",534,West Poplar Avenue,Collierville,Shelby County,Tennessee,United States,38017,35.046677,-89.67945,true
 1234 Pine Street,Edison,GA,39846,"","",Pine Street,Edison,Calhoun County,Georgia,United States,39846,31.5670592,-84.748859,true
 303 Oak Hill Road,Jasper,AL,35504,"",303,Oak Hill Road,Jasper,Walker County,Alabama,United States,35504,33.8542594,-87.2846811,false
 19 Lincoln Avenue,Rutherford,NJ,7070,"",19,Lincoln Avenue,Rutherford,Bergen County,New Jersey,United States,07070,40.8256142,-74.1072385,true
 465 W. McClain,Scottsburg,IN,47170,"",465,West McClain Avenue,Scottsburg,Scott County,Indiana,United States,47170,38.6853835,-85.77494550000002,true
 4947 N. Main Street,Acworth,GA,30101,"",4947,North Main Street,Acworth,Cobb County,Georgia,United States,30101,34.066615,-84.68130699999999,false
 92 East,Norwalk,CT,6851,"",92,East Avenue,Norwalk,Fairfield County,Connecticut,United States,06851,41.1169885,-73.4084029,true
 30 Riverside Hwy,Bassett,VA,24055
 Route 44 South,Switzer,WV,25647,"","",Lower Baisden Rt 2 Road,Logan,Logan County,West Virginia,United States,25601,37.850266,-82.020004,true
 1302 Main,Collinsville,OK,74021,"",1302,West Main Street,Collinsville,Tulsa County,Oklahoma,United States,74021,36.364891,-95.8406679,true
 302 8th Avenue,Taylorsville,MS,39168,"","",South C Road 8,Taylorsville,Smith County,Mississippi,United States,39168,31.8130432,-89.34338249999999,true
 Highway 18 E,Raleigh,MS,39153,"","",Highway 18,Raleigh,Smith County,Mississippi,United States,39153,32.0310867,-89.48910579999999,true
 22 E 4th Ave,Bay Springs,MS,39422,"",22,East 4th Avenue,Bay Springs,Jasper County,Mississippi,United States,39422,31.9798223,-89.2867429,false
 3202 Highway 49,Collins,MS,39428,"",3202,Highway 49,Collins,Covington County,Mississippi,United States,39428,31.6344429,-89.55918690000001,true
 504 Airport Road,Forest,MS,39074,"",504,Airport Road,Forest,Scott County,Mississippi,United States,39074,32.35454320000001,-89.48154319999999,false
 4113 Hwy. 15 N.,Laurel,MS,39441,"",4113,Highway 15,Laurel,Jones County,Mississippi,United States,39440,31.7420699,-89.14648059999999,true
 415 N Main South,Mendenhall,MS,39114,"",415,South Main Street,Mendenhall,Simpson County,Mississippi,United States,39114,31.956617,-89.87139289999999,true
 3077 State Highway 13,Mendenhall,MS,39114,"",3077,Highway 13,Mendenhall,Simpson County,Mississippi,United States,39114,31.99187809999999,-89.8608428,false
 302 8th Avenue,Magee,MS,39111,"",302,8th Avenue Southeast,Magee,Simpson County,Mississippi,United States,39111,31.871274,-89.7230194,true
 2904 US Highway 23 N,Weber City,VA,24290,"","",U.S. 23,Weber City,"",Virginia,United States,24290,36.6155889,-82.5679576,true
 323 2nd Sreet,Columbia,MS,39429,"",323,2nd Street,Columbia,Marion County,Mississippi,United States,39429,31.2524633,-89.8336597,true
 2005 S 4th Ave,Pocatello,ID,83201,"",2005,South 4th Avenue,Pocatello,Bannock County,Idaho,United States,83201,42.8512667,-112.428254,false
 613 14th St,Phenix City,AL,36867,"",613,14th Street,Phenix City,Russell County,Alabama,United States,36867,32.4724999,-85.0024,false
 87 Park Lane Road,New Milford,CT,6776,"",87,Park Lane Road,New Milford,Litchfield County,Connecticut,United States,06776,41.6011984,-73.40677400000001,true
 127 Ellisboro Rd,Madison,NC,27025,"",127,Ellisboro Road,Madison,Rockingham County,North Carolina,United States,27025,36.368625,-79.944772,false
 201 Edwards Ferry Road NE,Leesburg,VA,20176,"",201,Edwards Ferry Road Northeast,Leesburg,Loudoun County,Virginia,United States,20176,39.1141957,-77.5609726,false
 216 Court Street,Carlisle,AR,72024,"",216,North Court Street,Carlisle,Lonoke County,Arkansas,United States,72024,34.784327,-91.74629499999999,true
 108 E. Grow Street,Colquitt,GA,39837,"",108,East Grow Street,Colquitt,Miller County,Georgia,United States,39837,31.1646254,-84.72812909999999,false
 2100 First Street,Idaho Falls,ID,83402,"",2100,1st Street,Idaho Falls,Bonneville County,Idaho,United States,83401,43.496383,-111.9919644,true
 54490 Columbia River Highway,Scappoose,OR,97056,"",54490,Columbia River Highway,Scappoose,Columbia County,Oregon,United States,97056,45.786949,-122.870321,false
 1105 Maple Street,Longview,WA,98632,"",1105,Maple Street,Longview,Cowlitz County,Washington,United States,98632,46.139362,-122.931097,false
 1010 4th Ave W,Columbia Falls,MT,59912,"",1010,4th Avenue West,Columbia Falls,Flathead County,Montana,United States,59912,48.36959,-114.187075,false
 425 N. Main Street,Princeton,IN,47670,"",425,North Main Street,Princeton,Gibson County,Indiana,United States,47670,38.3588337,-87.5678568,false
 203 Church Avenue,Comanche,OK,73529,"",203,Church Avenue,Comanche,Stephens County,Oklahoma,United States,73529,34.3701528,-97.9632154,false
 2701 SW J Avenue,Lawton,OK,73505,"",2701,Southwest J Avenue,Lawton,Comanche County,Oklahoma,United States,73505,34.598442,-98.43155399999999,false
 1200 Mill,Lake Charles,LA,70601,"",1200,Mill Street,Lake Charles,Calcasieu Parish,Louisiana,United States,70601,30.2315782,-93.203931,true
" 291 Highway 71, Fincastle Road",Lebanon, VA ,24266,"","",Fincastle Road,Lebanon,Russell County,Virginia,United States,24266,36.8937399,-82.11346480000002,true
 328 W Main Street,Richmond,KY,40475,"",328,West Main Street,Richmond,Madison County,Kentucky,United States,40475,37.7482095,-84.2968137,false
 1103 E.E. Wallace Blvd,Ferriday,LA,71334,"",1103,EE Wallace Boulevard,Ferriday,Concordia Parish,Louisiana,United States,71334,31.6401411,-91.55461530000001,true
 112 Wimberly Drive,Jeffersonville,GA,31044,"",112,Wimberly Drive,Jeffersonville,Twiggs County,Georgia,United States,31044,32.6735116,-83.3253436,false
" 4407 N. DivisionStreet, Suite 103",Spokane,WA,99207,103,4407,North Division Street,Spokane,Spokane County,Washington,United States,99207,47.6986004,-117.412099,true
 909 Fifth Street,Lynchburg,VA,24504,"",909,Fifth Street,Lynchburg,"",Virginia,United States,24504,37.414529,-79.1522619,false
 1624 N. Pine Street,Guthrie,OK,73044,"",1624,North Pine Street,Guthrie,Logan County,Oklahoma,United States,73044,35.8945081,-97.40434010000001,false
 1210 Ballentine Blvd,Norfolk,VA,23504,"",1210,Ballentine Boulevard,Norfolk,"",Virginia,United States,23504,36.85531599999999,-76.2485,false
 1701 Parks Ave,Virginia Beach, VA,23451,"",1701,Parks Avenue,Virginia Beach,"",Virginia,United States,23451,36.843292,-75.984493,false
 17762 Cedar Springs Road,Blakely,GA,39823,"",17762,Cedar Springs Road,Blakely,Early County,Georgia,United States,39823,31.36573319999999,-84.93937969999999,true
 4902 Zebulon Avenue,Pikeville,KY,41501,"",4902,Zebulon Street,Pikeville,Pike County,Kentucky,United States,41501,37.5402289,-82.466786,true
 230 South Hollywood Road,Houma,LA,70360,"",230,South Hollywood Road,Houma,Terrebonne Parish,Louisiana,United States,70360,29.6039422,-90.75244289999999,false
 306 North Sycamore Street,Rose Hill,NC,28458,"",306,North Sycamore Street,Rose Hill,Duplin County,North Carolina,United States,28458,34.8282926,-78.0230772,false
 840 W. Main Street,Beulaville,NC,28518,"",840,West Main Street,Beulaville,Duplin County,North Carolina,United States,28518,34.9261779,-77.7846101,false
 1654 Highway 24 & 50 E,Warsaw,NC,28398,"",1654,Highway 24,Colorado Springs,El Paso County,Colorado,United States,80915,38.8960307,-104.6388389,false
 2003 East Market Street,Greensboro,NC,27401,"",2003,East Market Street,Greensboro,Guilford County,North Carolina,United States,27401,36.0742401,-79.76392919999999,false
 109 Fontaine Drive,Ridgeway, VA ,24148,"",109,Fontaine Drive,Ridgeway,Henry County,Virginia,United States,24148,36.6443124,-79.86304439999999,false
